1,627
2,333
3,230
4,209
5,133
6,117
7,95
8,73
9,53
10,57
11,49
12,52
13,45
14,43
15,39
16,38
17,23
18,35
19,35
20,29
21,25
22,27
23,27
24,29
25,28
26,24
27,21
28,26
29,20
30,20
31,12
32,23
33,18
34,18
35,12
36,14
37,11
38,21
39,12
40,7
41,9
42,15
43,14
44,10
45,14
46,6
47,14
48,12
49,8
50,10
51,11
52,7
53,3
54,8
55,10
56,9
57,6
58,3
59,5
60,6
61,5
62,8
63,5
64,3
65,7
66,9
67,8
68,6
69,8
70,5
71,8
72,2
73,9
74,8
75,1
76,8
77,5
78,3
79,4
80,4
81,5
82,6
83,4
84,4
85,3
86,4
87,3
88,2
89,5
90,6
91,5
92,3
93,1
94,2
95,3
96,3
97,5
98,1
99,4
100,2
101,2
102,3
103,1
104,2
105,4
106,2
107,1
108,3
109,4
110,3
111,3
112,3
113,1
114,4
115,3
116,5
117,4
118,3
119,1
120,1
121,1
122,5
123,2
124,3
125,3
126,2
127,2
128,2
129,2
131,1
133,1
134,1
136,1
137,1
138,2
139,4
142,1
144,1
145,2
148,1
150,1
151,2
153,2
155,1
156,1
160,1
162,1
163,1
164,1
166,1
167,2
171,1
172,3
173,1
176,1
178,1
179,1
180,1
183,1
184,2
185,1
186,1
188,2
190,1
197,1
203,1
204,1
205,1
206,1
210,1
213,1
218,1
219,1
222,1
223,1
233,1
236,1
243,2
245,1
251,1
254,1
259,1
265,1
268,1
315,1
319,1
326,1
333,1
338,1
375,1
477,1
488,1
544,1
1159,1
1232,1
1268,1
1528,1
1800,1
1980,1
